recipe_urls,recipe_name,ingredients,ingredients_parsed
https://www.jamieoliver.com/recipes/duck-recipes/my-roasted-duck-sorta-shepherd-s-pie/,My roasted duck 'sorta shepherd's pie',"['For the duck', '1.5 kg Gressingham duck , giblets removed', '1 orange , halved', 'a few sprigs fresh rosemary', 'a few sprigs fresh sage', 'sea salt', 'freshly ground black pepper', 'For the pie', 'olive oil', '1 red onion , peeled and thickly sliced', '2 sticks celery , cut into 5cm lengths', '3 carrots , peeled and cut into big chunks', '1 tablespoon plain flour', '2 sticks rhubarb , roughly chopped', '500 ml organic beef stock', '1 kg potatoes , peeled and chopped', '500 g swede , peeled and chopped', '2 tablespoons butter', '1 splash warm milk', 'sea salt', 'freshly ground black pepper', '1 clove garlic , peeled', '1 orange , zest of', '1 handful Parmesan cheese , freshly grated']",beef butter carrot celery cheese chopped chopped chopped duck duck flour garlic giblet gressingham length milk onion orange orange parmesan pie potato rhubarb stock swede thickly
https://www.jamieoliver.com/recipes/duck-recipes/diy-crispy-duck-lettuce-cups-with-cherries-and-mint/,DIY crispy duck lettuce cups with cherries and mint,"['1 duck , about 2kg', 'sea salt', 'freshly ground black pepper', '300 g fresh cherries', 'extra virgin olive oil', '2 sprigs of rosemary', '1 teaspoon ground cinnamon', '½ teaspoon ground cloves', '2 soft round lettuce or little gems', '1 small bunch spring onions', '½ cucumber', '2 red chillies', '1 small bunch mint', '2 punnets salad cress', '1 punnet shiso cress']",about cress cress cucumber duck gem lettuce mint onion salad shiso
https://www.jamieoliver.com/recipes/chicken-recipes/roast-chicken-and-pesto/,Roast chicken and pesto,"['1.8 kg higher-welfare chicken', '½ bulb garlic , plus an extra ¼ clove', '2 small lemons', 'a few sprigs fresh thyme', 'extra virgin olive oil', '3 bunches fresh basil , stalks removed', '1 handful pine nuts , lightly toasted', '50 g Parmesan , freshly grated']",an basil chicken garlic higherwelfare lemon parmesan
https://www.jamieoliver.com/recipes/pasta-recipes/tagliatelle-genovese-style/,"Tagliatelle, Genovese-style","['1 handful pine nuts , about 40g, lightly toasted', '½ small clove garlic', '1 big bunch fresh basil , about 60g, leaves picked, coarsely chopped, plus extra to serve', '1 lemon , juice of', 'extra virgin olive oil', '150 g pecorino cheese , grated', '200 g new potatoes', '500 g fresh tagliatelle', '1 big handful fine green beans , topped and tailed']",about about basil bean cheese chopped garlic lemon potato tagliatelle tailed topped
https://www.jamieoliver.com/recipes/lamb-recipes/stuffed-leg-of-lamb-with-rosemary-and-pine-nuts/,Stuffed leg of lamb with rosemary and pine nuts,"['2 kg quality whole leg of lamb', '1 whole bulb garlic', '½ bunch fresh flat-leaf parsley', '½ bunch fresh rosemary , leaves picked, a few sprigs left whole', '4 anchovy fillets', '100 g ciabatta torn into chunks', '1 large handful pine nuts', '1 large handful green olives , stones removed and roughly chopped', '1 lemon , zest and juice of', 'sea salt', 'freshly ground black pepper', 'olive oil', '2 onions , peeled and roughly chopped', '2 carrots , roughly chopped', '2 sticks celery , roughly chopped', '1 bottle of red wine', '1 heaped tablespoon plain flour', '1 litre organic chicken or vegetable stock']",carrot celery chicken chopped chopped chopped chopped ciabatta fillet flatleaf flour garlic lamb left lemon onion stock stone vegetable wine
https://www.jamieoliver.com/recipes/chicken-recipes/spring-chicken-stuffed-with-black-pudding-and-with-braised-baby-vegetables/,Spring chicken stuffed with black pudding and with braised baby vegetables,"['4 little higher-welfare poussins', '8 cloves garlic , peeled', '4 sprigs thyme', '200 g black pudding', '2 tablespoons mustard powder', '4 slices higher-welfare prosciutto or bacon', 'olive oil', '1 glass dry white wine', '250 ml organic chicken stock', '1 handful baby carrots', '1 handful turnips', '1 handful fennel', '1 handful new potatoes']",bacon carrot chicken garlic glass higherwelfare higherwelfare mustard potato poussin prosciutto pudding stock turnip wine
https://www.jamieoliver.com/recipes/lamb-recipes/spiced-lamb-lollipops-with-korma-sauce-and-toasted-almonds/,Spiced lamb lollipops with korma sauce and toasted almonds,"['8 quality lamb cutlets , French-trimmed', '3 tablespoons cumin seeds , lightly toasted and ground', '1 thumb-sized piece ginger , grated', '3 tablespoons olive oil', '150 g blanched almonds', '½ teaspoon black pepper', '½ teaspoon cloves', '½ stick cinnamon', '½ teaspoon cardamom', '1 teaspoon butter', '2 cloves garlic , finely sliced', '1 teaspoon ground turmeric', '1 red onion , finely sliced', '200 g tinned chopped tomatoes', '250 ml fat-free natural yoghurt']",blanched butter chopped cumin cutlet fatfree frenchtrimmed garlic ginger lamb onion thumbsized tomato yoghurt
https://www.jamieoliver.com/recipes/fish-recipes/smoked-mackerel-pate-with-griddled-toast-and-cress-salad/,Smoked mackerel pate with griddled toast and cress salad,"['400 g smoked mackerel , from sustainable sources', '200 g light cream cheese', '3 lemons', '1 small bunch of fresh flat-leaf parsley , leaves picked', '2 small punnets of cress , snipped', '2 sticks of celery , finely sliced, plus some of the celery leaves', 'extra virgin olive oil', '6 slices of good bread']",bread celery celery cheese cream cress flatleaf lemon mackerel snipped some
https://www.jamieoliver.com/recipes/seafood-recipes/seafood-curry/,Seafood curry,"['400 ml light coconut milk', '200 g large, raw prawns , from sustainable sources, ask your fishmonger, peeled and butterflied with tail-shells on', '4 small fresh red mullet fillets , from sustainable sources, ask your fishmonger, scaled and pin-boned', '2 fresh sea bream fillets , from sustainable sources, ask your fishmonger, scaled, pin-boned and cut into large pieces', '2 handfuls fresh, live mussels , from sustainable sources, ask your fishmonger, washed and debearded', '1 splash soy sauce', 'medium egg noodles , cooked, to serve', 'For the curry paste', '6 spring onions , washed and trimmed', '3 hot red chillies , deseeded (2 finely chopped and 1 finely sliced)', '2 cloves garlic', '1 thumb-sized piece ginger , finely chopped', '2 stalks lemongrass , trimmed and finely chopped', '2 limes , zest and juice of', '1 large bunch fresh coriander , stalks removed and finely chopped, and leaves reserved to garnish', 'olive oil']",bream butterflied chopped chopped chopped chopped coconut curry debearded egg fillet fillet garlic ginger lemongrass lime live milk mullet mussel noodle onion paste pinboned pinboned prawn reserved scaled scaled soy tailshells thumbsized
https://www.jamieoliver.com/recipes/pork-recipes/sausages-with-pan-cooked-chutney-and-leek-mash/,Sausages with pan cooked chutney and leek mash,"['1 kg potatoes , peeled and halved', 'olive oil', '2 leeks , sliced and washed', '200 ml milk', 'extra virgin olive oil , leaves picked', '1 sprig fresh sage , leaves picked', '2 red onions , cut into thin wedges', '1 good handful fresh or frozen (and thawed) cranberries', '2.5 cm piece cinnamon stick', '5 cm piece fresh ginger , grated', '3 tablespoons balsamic vinegar', '8 higher-welfare pork sausages']",cranberry ginger higherwelfare leek milk onion pork potato sausage
https://www.jamieoliver.com/recipes/fish-recipes/roast-trout-with-spinach-sage-and-prosciutto/,"Roast trout with spinach, sage and prosciutto","['8 x 120 g trout fillets , from sustainable sources, ask your fishmonger, skin on, scaled and pinboned', '75 g ground almonds', '2 handfuls dried apricots , chopped', '2 large sprigs fresh sage , leaves picked', 'olive oil', '1 clove garlic , crushed', '600 g spinach', 'fresh nutmeg , grated', '410 g tinned cannellini beans , drained', '410 g tinned chickpeas , drained', '4 large slices quality prosciutto']",apricot bean cannellini chickpea chopped fillet garlic pinboned prosciutto scaled spinach trout
